Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
5	0.400000	0.0	0	995	0.032161	0.652733	11	0.454545	0.034000	0.047091	
3	0.333333	0.0	0	997	0.037111	0.936395	3	0.333333	0.038000	0.047045	
4	0.500000	1	0.000000	995	0.032161	0.936395	7	0.428571	0.034000	0.046980	
2	0.500000	0.0	0	998	0.036072	0.936395	9	0.444444	0.037000	0.046930	
2	1.000000	0.0	0	998	0.045090	0.936395	11	0.545455	0.047000	0.046930	
2	0.000000	1	0.000000	997	0.038114	1.011217	2	0.000000	0.038000	0.046886	
0.0	0	0.0	0	1000	0.029000	1.011217	2	0.000000	0.029000	0.046798	
1	1.000000	0.0	0	999	0.033033	1.011217	3	0.333333	0.034000	0.046735	
2	0.000000	0.0	0	998	0.022044	1.011217	5	0.200000	0.022000	0.046614	
0.0	0	0.0	0	1000	0.031000	1.011217	5	0.200000	0.031000	0.046539	
0.0	0	0.0	0	1000	0.022000	1.011217	5	0.200000	0.022000	0.046420	
0.0	0	0.0	0	1000	0.041000	1.011217	5	0.200000	0.041000	0.046394	
1	0.000000	0.0	0	999	0.030030	1.011217	6	0.166667	0.030000	0.046316	
0.0	0	0.0	0	1000	0.042000	1.011217	6	0.166667	0.042000	0.046295	
0.0	0	0.0	0	1000	0.021000	1.011217	6	0.166667	0.021000	0.046175	
2	0.000000	0.0	0	998	0.029058	1.011217	8	0.125000	0.029000	0.046094	
0.0	0	0.0	0	1000	0.030000	1.011217	8	0.125000	0.030000	0.046019	
2	0.000000	0.0	0	998	0.028056	1.011217	10	0.100000	0.028000	0.045934	
0.0	0	0.0	0	1000	0.024000	0.771216	0	0.000000	0.024000	0.045832	
0.0	0	0.0	0	1000	0.042000	0.771216	0	0.000000	0.042000	0.045815	
1	0.000000	0.0	0	999	0.039039	0.771216	1	0.000000	0.039000	0.045783	
0.0	0	0.0	0	1000	0.026000	0.771216	1	0.000000	0.026000	0.045692	
0.0	0	0.0	0	1000	0.035000	0.771216	1	0.000000	0.035000	0.045644	
0.0	0	0.0	0	1000	0.027000	0.771216	1	0.000000	0.027000	0.045559	
1	0.000000	0.0	0	999	0.045045	0.771216	2	0.000000	0.045000	0.045556	
0.0	0	0.0	0	1000	0.023000	0.771216	2	0.000000	0.023000	0.045455	
1	1.000000	0.0	0	999	0.025025	0.771216	3	0.333333	0.026000	0.045368	
1	0.000000	0.0	0	999	0.019019	0.771216	4	0.250000	0.019000	0.045250	
3	1.000000	0.0	0	997	0.024072	0.771216	7	0.571429	0.027000	0.045169	
1	0.000000	1	0.000000	998	0.039078	0.771216	8	0.500000	0.039000	0.045141	
1	0.000000	0.0	0	999	0.026026	0.771216	9	0.444444	0.026000	0.045057	
1	0.000000	0.0	0	999	0.035035	0.771216	10	0.400000	0.035000	0.045013	
2	0.500000	0.0	0	998	0.033066	0.771216	2	0.500000	0.034000	0.044965	
0.0	0	1	0.000000	999	0.033033	0.771216	2	0.500000	0.033000	0.044913	
1	0.000000	0.0	0	999	0.036036	0.771216	3	0.333333	0.036000	0.044874	
0.0	0	0.0	0	1000	0.031000	0.771216	3	0.333333	0.031000	0.044814	
1	0.000000	0.0	0	999	0.038038	0.771216	4	0.250000	0.038000	0.044785	
4	0.250000	5	0.000000	991	0.032291	0.771216	8	0.250000	0.033000	0.044735	
1	0.000000	20	0.000000	979	0.030644	0.771216	9	0.222222	0.030000	0.044672	
3	0.666667	12	0.000000	985	0.032487	0.771216	12	0.333333	0.034000	0.044627	
0.0	0	0.0	0	1000	0.037000	0.771216	0	0.000000	0.037000	0.044595	
3	0.000000	1	0.000000	996	0.039157	0.771216	3	0.000000	0.039000	0.044571	
0.0	0	0.0	0	1000	0.048000	0.771216	3	0.000000	0.048000	0.044586	
2	0.500000	0.0	0	998	0.028056	0.771216	5	0.200000	0.029000	0.044521	
0.0	0	1	0.000000	999	0.042042	0.771216	5	0.200000	0.042000	0.044510	
3	0.333333	0.0	0	997	0.044132	0.771216	8	0.250000	0.045000	0.044512	
1	0.000000	1	0.000000	998	0.031062	0.771216	9	0.222222	0.031000	0.044457	
4	0.250000	0.0	0	996	0.039157	0.771216	13	0.230769	0.040000	0.044438	
3	0.333333	0.0	0	997	0.044132	0.771216	3	0.333333	0.045000	0.044441	
4	0.250000	1	0.000000	995	0.037186	0.771216	7	0.285714	0.038000	0.044414	
5	0.200000	0.0	0	995	0.043216	0.771216	12	0.250000	0.044000	0.044413	
0.0	0	0.0	0	1000	0.042000	0.771216	0	0.000000	0.042000	0.044403	
1	0.000000	0.0	0	999	0.044044	0.771216	1	0.000000	0.044000	0.044401	
5	0.200000	0.0	0	995	0.056281	0.771216	6	0.166667	0.057000	0.044452	
3	0.333333	1	0.000000	996	0.040161	0.771216	9	0.222222	0.041000	0.044438	
0.0	0	0.0	0	1000	0.053000	0.771216	9	0.222222	0.053000	0.044472	
2	0.000000	0.0	0	998	0.056112	0.771216	11	0.181818	0.056000	0.044518	
2	0.500000	1	0.000000	997	0.047141	0.566555	2	0.500000	0.048000	0.044531	
1	1.000000	0.0	0	999	0.043043	0.566555	3	0.666667	0.044000	0.044529	
